feature,surface,interaction_type,pwa_source,native_equivalent,native_status,notes
global,any scrollable list,pull-to-refresh,src/components/mobile/PullToRefresh.tsx,List.refreshable,done,"Verified: TasksView (line 92), FinanceView (line 74), and DashboardView (line 106) all attach .refreshable { await store.refresh() } to their ScrollView."
global,bottom nav,tab tap,src/components/mobile/BottomNavigation.tsx (useHaptic),RootTabView.swift,done,"Phase 4l: RootTabView TabView fires UIImpactFeedbackGenerator(.light) inside .onChange(of: appState.selectedTab)."
global,bottom nav,tab re-tap scrolls to top,BottomNavigation.tsx,ScrollViewReader,missing,PWA scrolls tab content to top on re-tap
global,bottom nav,active icon morph,AnimatedNavIcons.tsx,SF Symbols variable,done,"SwiftUI TabView ships a built-in icon/label selected-state morph plus tint transition; functionally equivalent to PWA AnimatedNavIcons morph."
global,any row,swipe-left-to-reveal actions,SwipeableRow.tsx + useSwipeGesture.ts,SwipeableRow.swift,done,"Verified: SwipeableRow.swift wired in TasksView (two lists) and FinanceView transaction list. Uses native .swipeActions under the hood with matching 60pt threshold."
global,any row,swipe-right-to-reveal,SwipeableRow.tsx leftAction,SwipeableRow.swift,n/a,"iOS HIG convention is trailing swipe only. PWA's leftAction (row swipe right) is a web-only affordance; skipping keeps gestures consistent with platform norms."
global,any sheet,drag-to-dismiss,browser-native,.presentationDragIndicator + detents,done,"Verified: every sheet declares .presentationDragIndicator(.visible) and appropriate .presentationDetents."
global,any sheet,backdrop tap dismiss,browser-native,sheet default,done,—
global,any sheet,escape key dismiss,browser-native,swipe-down + cancel button,done,iOS equivalent; hardware cmd-W on iPad missing
global,any button,active press scale,active:scale-[0.98] (Tailwind),.scaleEffect on press,partial,"Phase 4k: PressScaleStyle applied to AuthView submitButton + SocialSignInButtons. Wider sweep across AnchorCard/AnchorChip primary actions tracked for a dedicated pass."
global,any input,focus ring,focus:ring-4 (Tailwind),.focused + .overlay,done,"Phase 4m: AuthView field icons tween foregroundStyle to AnchorPalette.chipActive while focused. SwiftUI TextField provides system-level focus indicator ring at OS level for keyboard navigation."
global,edge-swipe back,navigation pop,browser-native,NavigationStack,done,Native iOS default
commitments,TaskItem,checkbox tap,TaskItem.tsx handleToggle + trigger('success'),TaskRowView.swift,done,"Phase 4h: TaskRowView applies .completionPop(trigger:) + UINotificationFeedbackGenerator.success on incomplete -> complete toggle."
commitments,TaskItem,title tap to edit,onTitleClick prop,(missing),missing,Native only edits via swipe or row tap
