feature,surface,trigger,pwa_source,animation,duration_ms,easing,haptic,reduced_motion_fallback,native_equivalent,native_status,notes
commitments,TaskItem checkbox,tap to complete,TaskItem.tsx microMotion.completionPop,scale 1 → 1.18 → 1 with bg→emerald-500 + ring-4 + Check stroke,350 (inner) / 800 (outer reassurance),easeOut + cubic-bezier(0.34 1.56 0.64 1),useHaptic('success') = navigator.vibrate([15 50 15]),instant toggle no bounce,TaskRowView.handleToggle + AnchorMicroMotion.completionPop,complete,"Phase 4h: completionPop ported (scale 1→1.18→1 easeOut over 350ms) + UINotificationFeedbackGenerator(.success) haptic. Honors Reduce Motion. Only plays on incomplete→complete transition; unchecking stays silent. Title strikethrough/color change already shipped via task.completed."
commitments,TaskItem title,during completion,TaskItem.tsx,text color slate-800 → emerald-600 + line-through fade-in,300,ease-out,—,instant color switch,TaskRowView.body,complete,Phase 4h: strikethrough + textSecondary color already driven by task.completed; implicit SwiftUI transition matches PWA behavior.
commitments,TaskItem,streak milestone reached,streakUtils getStreakMilestone,subtle emerald badge fade-in,—,—,—,instant,(missing),missing,—
finance,AccountForm,mount,AccountForm.tsx microMotion.createSlideIn,opacity 0 + y 10 → opacity 1 + y 0,260,easeOut,—,instant appear,(missing),missing,—
finance,TransactionForm save button,saving,TransactionForm.tsx microMotion.savePulse,scale 1 → 1.02 → 1 repeating,900 (repeat),easeInOut,—,static scale 1 + spinner,complete,"Phase 4i: AddTransactionSheet wires .savePulse(state:) driven by @State saveState. idle/saving/done states match PWA microMotion.savePulse variants exactly."
finance,TransactionForm save,submit success,useTransactionSubmit.ts,savePulse done state,320,easeOut,useHaptic('success'),instant,complete,"Phase 4i: UIImpactFeedbackGenerator(.medium).impactOccurred() + UINotificationFeedbackGenerator().notificationOccurred(.success) fired on successful save; saveState transitions to .done for a 350ms 1.08× pop then returns to .idle."
finance,TransactionForm save,submit error,useTransactionSubmit.ts,—,—,—,useHaptic('error') = [50x5],—,complete,"Phase 4i: UINotificationFeedbackGenerator().notificationOccurred(.error) fired on catch block; saveState reset to .idle."
finance,NetWorthCards,value update,NetWorthCards.tsx microMotion.netWorthRise,opacity 0 → 0.22 → 0 sparkle,1100,easeOut,—,instant value,(missing),missing,—
finance,WalletCard expand,tap to expand,useFinanceCardInteraction.ts,card scale + reveal details,—,spring,haptic.selection = vibrate(10),instant,complete,"Phase 4j: WalletCardStack.swift onTapGesture on background cards fires UIImpactFeedbackGenerator(.light) and brings the tapped card to currentIndex with a spring(0.4, 0.8) — matches PWA haptic.selection + scale/reveal contract."
finance,WalletStack cycle,cycle to next,useCardCycle.ts,y-pan drag snap + reorder,spring,—,haptic.selection on cycle (!= collapse),instant swap,complete,"Phase 4j verified: WalletCardStack.dragGesture onEnded fires UIImpactFeedbackGenerator(.light) when translation crosses ±60pt threshold before incrementing/decrementing currentIndex; spring(0.4, 0.8) reset on dragOffset."
finance,SpendingTrendsChart,mount/data change,SpendingTrendsChart.tsx,—,—,—,—,—,complete,"Phase 4j verified: SwiftUI Charts BarMark applies the framework's default implicit mount + data-change animation; PWA equivalent is transition-all/transition-colors on bar divs (no explicit axis-tick animation). Behavior matches."
dashboard,any card,mount,various animate-in fade-in,opacity 0 → 1,300-500,ease,—,instant,complete,"Phase 4l: DashboardView.swift root NavigationStack uses .fadeInOnAppear(duration: 0.4) — opacity 0→1 easeOut. Reduce Motion honored. Covers the aggregate card-mount contract (PWA applies animate-in fade-in to the container, not per-card)."
auth,AuthView,mount,AuthView.tsx animate-in fade-in zoom-in-95,opacity+scale 95% → 100%,500,ease,—,instant,complete,"Phase 4k: AuthView.swift .authMountTransition(duration: 0.5) modifier — opacity 0→1 + scale 0.95→1.0 over 500ms easeOut. Reduce Motion honored."
auth,AuthLeftPanel,mount,animate-in fade-in zoom-in,opacity+scale,1000,ease,—,instant,n/a,"PWA-only: AuthLeftPanel is the desktop split-view promo panel rendered at lg: breakpoint only. Native iOS auth is single-column; no equivalent surface."
auth,error message,error appears,AuthView.tsx animate-in fade-in slide-in-from-top-2,y -8 → 0 + fade,300,ease,—,instant,complete,"Phase 4k: AuthView+Helpers.swift statusRow uses .transition(.asymmetric(.move(.top)+.opacity, .opacity)) + .animation(.easeOut(0.3)) on statusMessage changes."
