feature,pwa_component,pwa_action,native_component,native_status,notes
finance,FinanceView.tsx,Open account list,FinanceView.swift,done,Phase 2: Firestore wired via SecureDb; FinanceView 351 lines (ARCH-001 follow-up)
finance,FinanceView.tsx,Search transactions,FinanceSearchSheet (missing),missing,No native search sheet
finance,FinanceView.tsx,Summary sheet,FinanceSummarySheet (missing),missing,No native summary sheet
finance,AccountCard.tsx,Tap card to open details,AccountDetailView.swift,done,Check deep-link parity
finance,AccountForm.tsx,Create account,AddAccountSheet.swift,done,Verify validation parity (min balance, currency)
finance,AccountForm.tsx,Edit account,EditAccountSheet.swift,done,Verify color picker parity
finance,TransactionForm.tsx,Record income,AddTransactionSheet.swift,done,"Verified: AddTransactionSheet 'type' segmented control includes income (line 26 types = [expense, income, transfer]); submit() passes type through to FinanceStore.addTransaction. Parity with PWA TransactionForm income flow."
finance,TransactionForm.tsx,Record expense,AddTransactionSheet.swift,done,"Verified: expense is the default type; 11-category horizontal picker matches PWA CategorySelector. Phase 4n added focus chain + scrollDismissesKeyboard."
finance,TransactionForm.tsx,Record transfer (internal),AddTransactionSheet.swift,done,"Transfer mode is in the type segmented control and submit() branches on type==transfer to skip category (line 296). Account-to-account targeting remains a PWA-only follow-up tracked under FEAT (transfer-detail screen row 35)."
finance,TransactionForm.tsx,Link bank account,LinkBankAccount (missing),missing,Plaid/bank link not on native
finance,TransactionItem.tsx,Tap tx to edit,EditTransactionSheet.swift,done,—
finance,SwipeableTransactionItem.tsx,Swipe-to-delete tx,SwipeableRow.swift,done,"Phase 4n verified: wired in FinanceView (line 295)."
finance,SwipeableTransactionItem.tsx,Swipe-to-edit tx,SwipeableRow.swift,done,"Phase 4n verified: wired in FinanceView."
finance,VirtualTransactionList.tsx,Infinite scroll tx,List+onAppear (missing),missing,Native list not virtualized
finance,CategorySelector.tsx,Pick category,AddTransactionSheet.swift,done,"11-chip horizontal scroll picker inside AddTransactionSheet (General/Food/Transport/Utilities/Bills & Utilities/Health/Entertainment/Shopping/Salary/Freelance/Other) matches PWA CategorySelector."
finance,NetWorthCards.tsx,View net worth cards,FinanceView.totalAssetsBar + NetWorthCalculator.swift,complete,"Phase 2: per-currency math matches PWA calculateNetWorth. Phase 4g: AnchorMicroMotion.netWorthRise ported (opacity [0, 0.22, 0] over 1.1s ease-out via SwiftUI withAnimation, honors Reduce Motion). Shimmer gradient overlay behind totalAssetsBar triggers when totals are non-empty."
finance,finance.ts calculateNetWorth,Calculate net worth per currency,NetWorthCalculator.swift,done,Phase 2: pure function mirrors src/utils/finance.ts; 6 parity test cases in NetWorthCalculatorTests.swift
finance,FinanceStore.setSavingsGoal,Write savings goal,FinanceStore.setSavingsGoal,done,Phase 2: now routes through SecureDb (was bypassing to wrong root users/{uid})
finance,InsightCards.tsx,View monthly insight,MonthlyInsight (missing),missing,No AI insight row
